wavelength,reflectance,diffuse_transmittance
628,0.04814,0.03597
629,0.04808,0.03583
630,0.04802,0.03571
631,0.04795,0.03555
632,0.04784,0.0353
633,0.04771,0.03499
634,0.04755,0.03454
635,0.04733,0.03395
636,0.04705,0.03326
637,0.04672,0.03239
638,0.04633,0.0314
639,0.04593,0.0303
640,0.04551,0.0291
641,0.04508,0.02785
642,0.04464,0.02657
643,0.0442,0.02527
644,0.04379,0.02398
645,0.04344,0.02275
646,0.0431,0.02158
647,0.04279,0.0205
648,0.04254,0.01952
649,0.04231,0.01866
650,0.04214,0.0179
651,0.04201,0.01724
652,0.04192,0.01664
653,0.04184,0.01606
654,0.04177,0.01548
655,0.04171,0.01487
656,0.04165,0.01421
657,0.04156,0.01347
658,0.04147,0.01267
659,0.04138,0.01182
660,0.04129,0.01095
661,0.04119,0.01006
662,0.0411,0.0092
663,0.04103,0.00838
664,0.04096,0.00763
665,0.04092,0.00695
666,0.04094,0.00636
667,0.04099,0.00584
668,0.04109,0.00542
669,0.04122,0.00507
670,0.0414,0.0048
671,0.04161,0.00459
672,0.04186,0.00443
673,0.04216,0.00432
674,0.04251,0.00426
675,0.04288,0.00423
676,0.04329,0.00425
677,0.04373,0.00431
678,0.04422,0.00442
679,0.04477,0.0046
680,0.04535,0.00488
681,0.04594,0.00528
682,0.04658,0.00586
683,0.04723,0.00666
684,0.0479,0.00776
685,0.04861,0.00923
686,0.04934,0.01118
687,0.05015,0.01374
688,0.05106,0.017
689,0.05215,0.0211
690,0.05348,0.02613
691,0.05516,0.03217
692,0.05727,0.03923
693,0.05994,0.04731
694,0.06327,0.05636
695,0.06733,0.06632
696,0.0722,0.077
697,0.07788,0.08839
698,0.08435,0.10023
699,0.09161,0.11242
700,0.09955,0.12485
701,0.10808,0.13743
702,0.11706,0.14983
703,0.12641,0.16216
704,0.13601,0.17426
705,0.14576,0.1861
706,0.15556,0.19765
707,0.16541,0.20898
708,0.17521,0.22013
709,0.18499,0.23096
710,0.19474,0.24169
711,0.2044,0.25218
712,0.214,0.26253
713,0.22353,0.27274
714,0.23296,0.28282
715,0.24229,0.29273
716,0.25152,0.3025
717,0.26065,0.31211
718,0.26966,0.32152
719,0.27851,0.3308
720,0.28721,0.33984
721,0.29578,0.34872
722,0.30415,0.35738
723,0.31232,0.36581
724,0.32026,0.37396
725,0.32798,0.3819
726,0.33547,0.3895
727,0.34269,0.39688
728,0.34963,0.40389
729,0.3563,0.41067
730,0.36269,0.41717
