wavelength,reflectance,diffuse_transmittance
628,0.05376,0.05073
629,0.05368,0.05057
630,0.05361,0.05044
631,0.05353,0.05026
632,0.05341,0.04997
633,0.05324,0.04959
634,0.05302,0.04905
635,0.05272,0.04835
636,0.05237,0.04751
637,0.05195,0.04645
638,0.05145,0.04524
639,0.05092,0.04387
640,0.05038,0.04239
641,0.04981,0.04083
642,0.04924,0.03922
643,0.04869,0.03757
644,0.04817,0.03593
645,0.0477,0.03434
646,0.04726,0.03283
647,0.04689,0.03142
648,0.04657,0.03013
649,0.04632,0.02899
650,0.04611,0.02798
651,0.04595,0.02709
652,0.04583,0.02629
653,0.04574,0.0255
654,0.04566,0.02472
655,0.04559,0.02388
656,0.0455,0.02297
657,0.04542,0.02194
658,0.04533,0.02082
659,0.04523,0.01963
660,0.04512,0.01838
661,0.04502,0.0171
662,0.04492,0.01584
663,0.04486,0.01463
664,0.04484,0.01349
665,0.04485,0.01246
666,0.04488,0.01154
667,0.04496,0.01074
668,0.0451,0.01007
669,0.04528,0.00951
670,0.04548,0.00907
671,0.04573,0.00872
672,0.04601,0.00846
673,0.04633,0.00828
674,0.04669,0.00817
675,0.04709,0.00812
676,0.04753,0.00814
677,0.04801,0.00823
678,0.0485,0.0084
679,0.04907,0.00868
680,0.04968,0.00912
681,0.05029,0.00976
682,0.05092,0.01065
683,0.05157,0.01187
684,0.05224,0.01353
685,0.05293,0.0157
686,0.05367,0.01851
687,0.05451,0.0221
688,0.05553,0.02656
689,0.05678,0.03201
690,0.05838,0.03851
691,0.06046,0.0461
692,0.06315,0.05476
693,0.0666,0.06442
694,0.07088,0.07499
695,0.07602,0.08637
696,0.08209,0.09833
697,0.08906,0.11085
698,0.09685,0.12366
699,0.10537,0.13664
700,0.11455,0.14969
701,0.12425,0.16272
702,0.13434,0.17542
703,0.1447,0.18791
704,0.15522,0.20004
705,0.16578,0.21179
706,0.17634,0.22315
707,0.18684,0.2342
708,0.19727,0.24498
709,0.20759,0.25538
710,0.21779,0.26561
711,0.22787,0.27552
712,0.2378,0.28523
713,0.24758,0.29475
714,0.25717,0.30408
715,0.2666,0.3132
716,0.27584,0.32211
717,0.28489,0.33083
718,0.29371,0.33931
719,0.3023,0.34762
720,0.31066,0.35567
721,0.31877,0.36353
722,0.32662,0.37115
723,0.33419,0.37853
724,0.34146,0.38562
725,0.34843,0.39249
726,0.35513,0.39904
727,0.36151,0.40537
728,0.36756,0.41136
729,0.37332,0.41713
730,0.37877,0.42264
731,0.38392,0.42782
732,0.38881,0.43281
733,0.39339,0.43755
734,0.3977,0.44196
735,0.40175,0.44612
736,0.40552,0.45004
737,0.40905,0.45375
738,0.41234,0.45724
739,0.41538,0.4605
740,0.41822,0.46354
741,0.42082,0.46636
742,0.4232,0.469
743,0.42539,0.47143
744,0.42737,0.4737
745,0.42915,0.47583
746,0.43076,0.47778
747,0.43221,0.47957
748,0.43353,0.48124
749,0.43468,0.48277
750,0.43567,0.48418
751,0.43658,0.48551
752,0.43737,0.48682
753,0.43806,0.48808
754,0.43867,0.48928
755,0.43918,0.49046
756,0.43963,0.49155
757,0.44002,0.49263
758,0.44035,0.49366
759,0.44063,0.49463
760,0.44085,0.49555
761,0.44103,0.49642
762,0.44119,0.49727
763,0.4413,0.49803
764,0.44137,0.49879
765,0.44143,0.49951
766,0.44144,0.50018
767,0.44142,0.50077
768,0.44139,0.50139
769,0.44136,0.50193
770,0.44133,0.50244
771,0.44127,0.50292
772,0.44119,0.50339
773,0.44113,0.5038
774,0.44107,0.50421
775,0.44102,0.50455
776,0.44099,0.5049
777,0.44091,0.50519
778,0.44085,0.50545
779,0.4408,0.50572
780,0.44074,0.50593
781,0.4407,0.50611
782,0.44068,0.50629
783,0.44066,0.50647
784,0.44062,0.50665
785,0.4406,0.50682
786,0.44059,0.50701
787,0.44058,0.50719
788,0.44055,0.5074
789,0.44053,0.50758
790,0.44052,0.50773
791,0.44048,0.5079
792,0.44048,0.50807
793,0.44047,0.50823
794,0.44045,0.5084
795,0.44044,0.50857
796,0.44044,0.50874
797,0.44045,0.50891
798,0.44043,0.50908
799,0.44043,0.50925
800,0.44043,0.50938
801,0.44042,0.50954
802,0.44042,0.5097
803,0.44041,0.50986
804,0.44041,0.50998
805,0.4404,0.51014
806,0.44041,0.5103
807,0.4404,0.51046
808,0.4404,0.51062
809,0.44042,0.51074
810,0.44041,0.5109
811,0.44041,0.51101
812,0.44043,0.51116
813,0.44044,0.51127
814,0.44042,0.51142
815,0.4404,0.51156
816,0.44039,0.51167
817,0.44041,0.51182
818,0.44044,0.51193
819,0.44045,0.51207
820,0.44045,0.51218
821,0.44045,0.51232
822,0.44045,0.51242
823,0.44046,0.51255
824,0.44046,0.51269
825,0.44045,0.51282
826,0.44046,0.51291
827,0.44049,0.51304
828,0.44049,0.51314
829,0.44049,0.51326
830,0.4405,0.51339
831,0.44053,0.51348
832,0.44054,0.51359
833,0.44054,0.51368
834,0.44055,0.51377
835,0.44058,0.51386
836,0.44061,0.51399
837,0.44064,0.51408
838,0.44067,0.51421
839,0.4407,0.5143
840,0.44071,0.51443
841,0.44073,0.51452
842,0.44075,0.51464
843,0.44078,0.51473
844,0.4408,0.51485
845,0.44081,0.51494
846,0.44082,0.51507
847,0.44083,0.51516
848,0.44084,0.51528
849,0.44088,0.51537
850,0.44093,0.51549
851,0.44093,0.51558
852,0.44096,0.51566
853,0.44098,0.51574
854,0.44099,0.51586
855,0.44101,0.51594
856,0.44102,0.51602
857,0.44104,0.5161
858,0.44106,0.51622
859,0.44105,0.5163
860,0.44106,0.51642
861,0.44108,0.51654
862,0.44109,0.51661
863,0.44111,0.51672
864,0.44114,0.5168
865,0.44116,0.51687
866,0.44117,0.51691
867,0.44118,0.51698
868,0.44119,0.51706
869,0.4412,0.51713
870,0.44119,0.51725
871,0.44121,0.51731
872,0.44123,0.51742
873,0.44123,0.51753
874,0.44123,0.51759
875,0.44122,0.5177
876,0.44123,0.51777
877,0.44125,0.51787
878,0.44124,0.51794
879,0.44123,0.51804
880,0.44122,0.51811
881,0.44121,0.51821
882,0.44123,0.51827
883,0.44122,0.51833
884,0.44121,0.51843
885,0.44124,0.51853
886,0.44121,0.5186
887,0.44119,0.5187
888,0.44119,0.51876
889,0.44122,0.51886
890,0.44121,0.51893
891,0.44122,0.51902
892,0.44123,0.51908
893,0.44121,0.51917
894,0.44123,0.51923
895,0.44122,0.51933
896,0.44119,0.51938
897,0.44122,0.51948
898,0.44121,0.51954
899,0.44119,0.51963
900,0.44118,0.51969
901,0.44118,0.51974
902,0.44121,0.51982
903,0.44121,0.51987
904,0.44118,0.51996
905,0.44118,0.52001
906,0.44119,0.52006
907,0.44118,0.52014
908,0.44114,0.52018
909,0.44112,0.52027
910,0.44112,0.52032
911,0.44112,0.52041
912,0.44112,0.52045
913,0.44111,0.52053
914,0.44112,0.52057
915,0.44112,0.52062
916,0.44113,0.5207
917,0.44109,0.52073
918,0.44106,0.5208
919,0.44105,0.52084
920,0.44103,0.52093
921,0.44102,0.52096
922,0.44101,0.521
923,0.44097,0.52107
924,0.44094,0.5211
925,0.44089,0.52116
926,0.44085,0.52123
927,0.44082,0.52126
928,0.44082,0.52127
929,0.44076,0.52129
930,0.44071,0.5213
931,0.44068,0.52132
932,0.44063,0.52137
933,0.44056,0.52142
934,0.4405,0.52148
935,0.44044,0.52152
936,0.44037,0.52149
937,0.44029,0.52147
938,0.44021,0.52148
939,0.44013,0.52153
940,0.44006,0.52154
941,0.44001,0.52154
942,0.43992,0.52159
943,0.43981,0.52159
944,0.43973,0.52161
945,0.43962,0.52157
946,0.43951,0.52153
947,0.4394,0.52148
948,0.43926,0.52142
949,0.43912,0.52133
950,0.43897,0.52121
951,0.4388,0.52114
952,0.43865,0.52112
953,0.43849,0.52106
954,0.43832,0.52095
955,0.43815,0.52086
956,0.43797,0.52078
957,0.43777,0.52071
958,0.43761,0.52069
959,0.4375,0.52063
960,0.43739,0.52054
961,0.43726,0.52053
962,0.43715,0.52056
963,0.43708,0.52063
964,0.43703,0.52066
965,0.43699,0.52067
966,0.43693,0.52066
967,0.43685,0.52069
968,0.43679,0.52073
969,0.43676,0.52074
970,0.43677,0.52074
971,0.43681,0.52074
972,0.43679,0.52082
973,0.43674,0.52089
974,0.43673,0.52097
975,0.43675,0.52101
976,0.43675,0.52107
977,0.43678,0.52112
978,0.43677,0.52122
979,0.43674,0.52133
980,0.43683,0.5214
981,0.43688,0.5215
982,0.43693,0.52161
983,0.437,0.52168
984,0.43706,0.52176
985,0.43706,0.5218
986,0.4371,0.52184
987,0.4372,0.52185
988,0.43725,0.52186
989,0.43725,0.5219
990,0.43737,0.52199
991,0.43753,0.52209
992,0.43753,0.52218
993,0.43755,0.52231
994,0.43763,0.52243
995,0.43772,0.52256
996,0.43772,0.52269
997,0.43786,0.52283
998,0.4379,0.52296
999,0.43788,0.52305
1000,0.43793,0.52315
1001,0.43858,0.52329
1002,0.43867,0.52343
1003,0.43875,0.52352
1004,0.4388,0.52361
1005,0.43886,0.52371
1006,0.43894,0.52377
1007,0.43901,0.52388
1008,0.43909,0.52395
1009,0.43918,0.52405
1010,0.43925,0.52415
1011,0.43931,0.5243
1012,0.43941,0.5244
1013,0.4395,0.5245
1014,0.43962,0.5246
1015,0.43969,0.52466
1016,0.43973,0.52475
1017,0.43978,0.52489
1018,0.43982,0.52502
1019,0.43986,0.52513
1020,0.43994,0.52528
1021,0.44002,0.52542
1022,0.44007,0.52556
1023,0.44013,0.52566
1024,0.44018,0.52576
1025,0.4402,0.52586
1026,0.44024,0.52595
1027,0.44028,0.52605
1028,0.44032,0.52619
1029,0.44037,0.52626
1030,0.44042,0.52635
1031,0.44047,0.5264
1032,0.44052,0.52647
1033,0.44056,0.52651
1034,0.44058,0.52656
1035,0.44061,0.52662
1036,0.44064,0.52667
1037,0.44066,0.52675
1038,0.44069,0.52684
1039,0.44072,0.52693
1040,0.44075,0.52701
1041,0.44079,0.52713
1042,0.44083,0.52721
1043,0.44087,0.52733
1044,0.44091,0.52744
1045,0.44095,0.52751
1046,0.44099,0.52754
1047,0.44104,0.52762
1048,0.44107,0.5277
1049,0.44111,0.52774
1050,0.44118,0.5278
1051,0.4412,0.52787
1052,0.44124,0.52798
1053,0.4413,0.52809
1054,0.44136,0.52815
1055,0.44143,0.52818
1056,0.44151,0.5282
1057,0.44157,0.52825
1058,0.44161,0.5283
1059,0.44166,0.52836
1060,0.4417,0.52843
1061,0.44175,0.52849
1062,0.44179,0.52858
1063,0.44185,0.52863
1064,0.4419,0.52868
1065,0.44196,0.52869
1066,0.44203,0.52866
1067,0.44207,0.52871
1068,0.44212,0.52872
1069,0.44218,0.52876
1070,0.4422,0.52885
1071,0.44225,0.52889
1072,0.44232,0.52894
1073,0.44237,0.52898
1074,0.44242,0.52906
1075,0.44248,0.5291
1076,0.44253,0.52917
1077,0.44255,0.5292
1078,0.44257,0.52928
1079,0.44262,0.52932
1080,0.44265,0.52936
1081,0.44269,0.52939
1082,0.44275,0.52941
1083,0.44278,0.52943
1084,0.44281,0.52942
1085,0.44284,0.52944
1086,0.44286,0.52947
1087,0.44287,0.52954
1088,0.44288,0.52956
1089,0.4429,0.52962
1090,0.44291,0.52967
1091,0.44292,0.52969
1092,0.44295,0.52971
1093,0.44296,0.52974
