wavelength(nm),reflectance,diffuse_transmittance
1483,0.25538,0.37118
1484,0.25669,0.37271
1485,0.25801,0.37408
1486,0.25933,0.3754
1487,0.26064,0.37682
1488,0.26195,0.37813
1489,0.26327,0.37945
1490,0.26457,0.38075
1491,0.26588,0.38223
1492,0.2672,0.38374
1493,0.26851,0.38538
1494,0.26984,0.38697
1495,0.27114,0.38855
1496,0.27243,0.39008
1497,0.27372,0.39162
1498,0.27502,0.39314
1499,0.27629,0.39448
1500,0.27757,0.39581
1501,0.27886,0.39705
1502,0.28012,0.39835
1503,0.28138,0.39978
1504,0.28263,0.40123
1505,0.28387,0.40255
1506,0.28511,0.40379
1507,0.28633,0.40509
1508,0.28754,0.40633
1509,0.28875,0.40767
1510,0.28994,0.40895
1511,0.29112,0.41018
1512,0.29229,0.41151
1513,0.29345,0.41279
1514,0.29461,0.41411
1515,0.29574,0.4154
1516,0.29686,0.4165
1517,0.29798,0.4176
1518,0.29908,0.41863
1519,0.30018,0.41972
1520,0.30127,0.42085
1521,0.30234,0.42203
1522,0.30342,0.42319
1523,0.30448,0.42437
1524,0.30552,0.4256
1525,0.30655,0.42672
1526,0.30758,0.42788
1527,0.30859,0.42904
1528,0.30958,0.43012
1529,0.31057,0.43113
1530,0.31154,0.43211
1531,0.31248,0.43309
1532,0.31343,0.43404
1533,0.31438,0.43503
1534,0.31531,0.43599
1535,0.31623,0.43688
1536,0.31713,0.43765
1537,0.31802,0.43859
1538,0.31889,0.43958
1539,0.31975,0.44061
1540,0.3206,0.44159
1541,0.32145,0.44253
1542,0.32229,0.44349
1543,0.32312,0.44448
1544,0.32394,0.44546
1545,0.32474,0.44635
1546,0.32554,0.44719
1547,0.32633,0.44801
1548,0.32711,0.44879
1549,0.32787,0.44967
1550,0.32863,0.45049
1551,0.32938,0.45123
1552,0.33012,0.4519
1553,0.33086,0.45264
1554,0.33158,0.45338
1555,0.33228,0.45411
1556,0.33298,0.45485
1557,0.33365,0.45553
1558,0.33433,0.45621
1559,0.335,0.45685
1560,0.33566,0.45757
1561,0.33632,0.4582
1562,0.33696,0.45879
1563,0.33758,0.45938
1564,0.3382,0.46
1565,0.33879,0.4607
1566,0.33938,0.46133
1567,0.33995,0.46196
1568,0.34052,0.46259
1569,0.34108,0.46319
1570,0.34164,0.46379
1571,0.3422,0.46443
1572,0.34275,0.46503
1573,0.34329,0.46564
1574,0.34383,0.46621
1575,0.34436,0.46682
1576,0.34488,0.46744
1577,0.34541,0.46798
1578,0.34593,0.46848
1579,0.34643,0.46891
1580,0.34693,0.4693
1581,0.34742,0.46972
1582,0.34791,0.47016
1583,0.34841,0.47079
1584,0.3489,0.47138
1585,0.34937,0.47196
1586,0.34984,0.47247
1587,0.3503,0.47299
1588,0.35076,0.4734
1589,0.35121,0.47382
1590,0.35165,0.4742
1591,0.35209,0.47459
1592,0.35252,0.47499
1593,0.35292,0.47551
1594,0.35334,0.47605
1595,0.35377,0.47657
1596,0.35418,0.47704
1597,0.35459,0.47744
1598,0.355,0.47775
1599,0.35538,0.47818
1600,0.35577,0.47859
1601,0.35617,0.47898
1602,0.35656,0.47934
1603,0.35695,0.47971
1604,0.35732,0.48004
1605,0.35768,0.48051
1606,0.35803,0.48087
1607,0.35835,0.48121
1608,0.35869,0.48147
1609,0.35903,0.48183
1610,0.35936,0.48215
1611,0.35969,0.48256
1612,0.36002,0.48296
1613,0.36033,0.4834
1614,0.36063,0.48375
1615,0.36092,0.48408
1616,0.36121,0.48431
1617,0.36149,0.48453
1618,0.36177,0.48477
1619,0.36206,0.48503
1620,0.36233,0.48525
1621,0.3626,0.48561
1622,0.36286,0.48594
1623,0.36311,0.48629
1624,0.36335,0.48667
1625,0.3636,0.48698
1626,0.36383,0.48721
1627,0.36406,0.48746
1628,0.36428,0.48761
1629,0.36447,0.48783
1630,0.36467,0.48799
1631,0.36487,0.48829
1632,0.36506,0.48858
1633,0.36525,0.48891
1634,0.36542,0.48917
1635,0.36556,0.48947
1636,0.36569,0.48969
1637,0.36583,0.48989
1638,0.36593,0.49007
1639,0.36602,0.49032
1640,0.3661,0.49051
1641,0.36616,0.49072
1642,0.3662,0.49088
1643,0.36625,0.49109
1644,0.36628,0.49123
1645,0.36629,0.49135
1646,0.36629,0.49134
1647,0.36628,0.49145
1648,0.36627,0.49146
1649,0.36625,0.49167
1650,0.36623,0.49181
1651,0.36621,0.49191
1652,0.36619,0.49196
1653,0.36616,0.49212
1654,0.36615,0.49218
1655,0.36616,0.49231
1656,0.36616,0.49243
1657,0.36615,0.49256
1658,0.36616,0.49262
1659,0.36619,0.49269
1660,0.36622,0.49278
1661,0.36627,0.49283
1662,0.36633,0.49276
1663,0.3664,0.49289
1664,0.36647,0.49289
1665,0.36655,0.49295
1666,0.36662,0.49295
1667,0.36668,0.49292
1668,0.36674,0.49283
1669,0.36681,0.49288
1670,0.36685,0.4929
1671,0.36687,0.49309
1672,0.36688,0.49319
1673,0.36684,0.49336
1674,0.36681,0.49343
1675,0.36677,0.49356
1676,0.36671,0.4936
1677,0.36664,0.49355
1678,0.36654,0.49346
1679,0.36642,0.49346
1680,0.3663,0.49344
1681,0.36616,0.49338
1682,0.36601,0.49328
1683,0.36586,0.49321
1684,0.36569,0.49313
1685,0.3655,0.49295
1686,0.3653,0.49279
1687,0.36508,0.49268
1688,0.36486,0.49257
1689,0.36462,0.49251
1690,0.36438,0.49243
1691,0.36414,0.49235
1692,0.36388,0.49224
1693,0.36361,0.49212
1694,0.36335,0.49191
1695,0.36308,0.49174
1696,0.3628,0.49155
1697,0.36253,0.49137
1698,0.36225,0.49119
1699,0.36196,0.49103
1700,0.36167,0.49097
1701,0.36138,0.49084
1702,0.36108,0.49068
1703,0.36079,0.49059
1704,0.3605,0.49042
1705,0.36022,0.49031
1706,0.35991,0.49014
1707,0.35959,0.48993
1708,0.35928,0.48969
1709,0.35895,0.48944
1710,0.35864,0.48912
1711,0.35834,0.48895
1712,0.35804,0.48882
1713,0.35774,0.48863
1714,0.35744,0.48847
1715,0.35712,0.48835
1716,0.35678,0.48826
1717,0.35643,0.48803
1718,0.35609,0.48772
1719,0.35576,0.48752
1720,0.35545,0.4873
1721,0.35515,0.48717
1722,0.35484,0.48705
1723,0.35453,0.48686
1724,0.35421,0.48663
1725,0.35389,0.48632
1726,0.35358,0.48595
1727,0.35329,0.48567
1728,0.35302,0.4854
1729,0.35276,0.48513
1730,0.3525,0.48489
1731,0.35224,0.48485
1732,0.35197,0.48473
1733,0.35171,0.48453
1734,0.35145,0.48427
1735,0.3512,0.48404
1736,0.35094,0.48386
1737,0.35066,0.4836
1738,0.35036,0.48335
1739,0.35005,0.4832
1740,0.34971,0.48301
1741,0.34936,0.48278
1742,0.34898,0.4825
1743,0.34859,0.48209
1744,0.34819,0.48166
1745,0.34777,0.48122
1746,0.34735,0.4808
1747,0.34692,0.48029
1748,0.3465,0.47975
1749,0.34604,0.47926
1750,0.34555,0.47882
1751,0.34507,0.47836
1752,0.34456,0.47788
1753,0.34406,0.47736
1754,0.34356,0.47673
1755,0.34307,0.47607
1756,0.34258,0.47552
1757,0.34208,0.47507
1758,0.34158,0.47473
1759,0.34108,0.47444
1760,0.3406,0.47408
1761,0.34015,0.47369
1762,0.3397,0.47327
1763,0.33925,0.4727
1764,0.33881,0.472
1765,0.33838,0.47137
1766,0.33796,0.47083
1767,0.33758,0.47047
1768,0.33718,0.47037
1769,0.3368,0.47053
1770,0.33643,0.47079
1771,0.33607,0.47118
1772,0.33574,0.47141
1773,0.33542,0.47142
1774,0.33511,0.47129
1775,0.33481,0.4709
1776,0.33453,0.4704
1777,0.33425,0.46981
1778,0.33398,0.46917
1779,0.33373,0.46861
1780,0.33348,0.46829
1781,0.33323,0.46828
1782,0.33302,0.4686
1783,0.3328,0.46904
1784,0.3326,0.46953
1785,0.33241,0.4699
1786,0.33223,0.47007
1787,0.33205,0.46996
1788,0.33189,0.46958
1789,0.33174,0.46908
1790,0.3316,0.46857
1791,0.33148,0.46813
1792,0.33136,0.46789
1793,0.33125,0.46783
1794,0.33115,0.46796
1795,0.33108,0.4681
1796,0.33102,0.46822
1797,0.33096,0.46844
1798,0.3309,0.4686
1799,0.33082,0.46861
1800,0.33076,0.46854
1801,0.33137,0.4686
1802,0.33138,0.46865
1803,0.3314,0.46855
1804,0.33143,0.4684
1805,0.33145,0.46827
1806,0.33146,0.46818
1807,0.33149,0.46814
1808,0.33153,0.46821
1809,0.33155,0.46838
1810,0.33158,0.46857
1811,0.3316,0.46863
1812,0.3316,0.46868
1813,0.33157,0.46859
1814,0.33156,0.46842
1815,0.33155,0.46818
1816,0.33153,0.46784
1817,0.33151,0.46746
1818,0.33147,0.46719
1819,0.33142,0.46699
1820,0.33136,0.46699
1821,0.3313,0.46709
1822,0.33122,0.46728
1823,0.33114,0.46747
1824,0.33103,0.46751
1825,0.33092,0.46763
1826,0.33081,0.46768
1827,0.33066,0.46763
1828,0.33051,0.46756
1829,0.33034,0.4674
1830,0.33014,0.46723
1831,0.32992,0.46712
1832,0.3297,0.46692
1833,0.32945,0.46674
1834,0.32915,0.46644
1835,0.32883,0.466
1836,0.32846,0.46553
1837,0.32805,0.46499
1838,0.3276,0.46448
1839,0.32712,0.46396
1840,0.32658,0.46346
1841,0.32599,0.46311
1842,0.32536,0.46281
1843,0.32471,0.46243
1844,0.32399,0.46198
1845,0.32318,0.46131
1846,0.32232,0.46043
1847,0.32136,0.45955
1848,0.32031,0.45843
1849,0.31918,0.45726
1850,0.31798,0.45604
1851,0.31667,0.45471
1852,0.31526,0.45301
1853,0.31375,0.45131
1854,0.3121,0.44939
1855,0.31033,0.44715
1856,0.30844,0.44465
1857,0.3064,0.4421
1858,0.30421,0.43944
1859,0.30188,0.43684
1860,0.29939,0.4342
1861,0.29675,0.43146
1862,0.29395,0.42814
1863,0.29094,0.42464
1864,0.28776,0.42086
1865,0.2844,0.41689
1866,0.2808,0.41259
1867,0.27697,0.4079
1868,0.2729,0.40293
1869,0.26861,0.39806
1870,0.26408,0.39262
1871,0.25929,0.387
1872,0.25426,0.38123
1873,0.24906,0.37507
1874,0.24365,0.36867
1875,0.23807,0.36186
1876,0.23231,0.3549
1877,0.22639,0.34735
1878,0.22035,0.33986
1879,0.21417,0.33211
1880,0.20793,0.32409
1881,0.20156,0.3157
1882,0.19524,0.3073
1883,0.18881,0.29806
1884,0.18235,0.28919
1885,0.1759,0.28047
1886,0.16947,0.27176
1887,0.16313,0.26278
1888,0.15689,0.25346
1889,0.1508,0.24469
1890,0.14491,0.23621
1891,0.13922,0.22791
1892,0.13376,0.21968
1893,0.12849,0.21126
1894,0.12354,0.20357
1895,0.11883,0.19634
1896,0.11443,0.18945
1897,0.11029,0.18299
1898,0.10645,0.17611
1899,0.10291,0.17063
1900,0.09964,0.16567
1901,0.09663,0.16105
1902,0.09391,0.15648
1903,0.09141,0.15282
1904,0.08917,0.14958
1905,0.08715,0.14676
1906,0.08533,0.14364
1907,0.08371,0.1413
1908,0.08229,0.13905
1909,0.08102,0.13708
1910,0.07989,0.1349
1911,0.07891,0.13325
1912,0.07804,0.13168
1913,0.07728,0.13021
1914,0.07661,0.12861
1915,0.07605,0.12746
1916,0.07556,0.12636
1917,0.07516,0.12547
1918,0.07482,0.12455
1919,0.07455,0.12404
1920,0.07434,0.1237
1921,0.07419,0.12326
1922,0.07408,0.12305
1923,0.07403,0.12293
1924,0.07402,0.1227
1925,0.07406,0.12282
1926,0.07414,0.12282
1927,0.07425,0.12302
1928,0.07441,0.12322
1929,0.07461,0.12356
1930,0.07484,0.12389
1931,0.07511,0.12443
1932,0.07542,0.12486
1933,0.07576,0.12539
1934,0.07612,0.12616
1935,0.07651,0.12682
1936,0.07692,0.12761
1937,0.07737,0.12859
1938,0.07785,0.12938
1939,0.07835,0.1303
1940,0.07889,0.13142
1941,0.07944,0.13244
1942,0.08002,0.1335
1943,0.08061,0.13489
1944,0.08122,0.13606
1945,0.08186,0.13725
1946,0.08252,0.13869
1947,0.08319,0.14003
1948,0.08389,0.14109
1949,0.08461,0.14284
1950,0.08535,0.14409
1951,0.08611,0.14598
1952,0.08688,0.14726
1953,0.08766,0.14866
1954,0.08846,0.15048
1955,0.08927,0.15204
1956,0.0901,0.15335
1957,0.09096,0.15538
1958,0.09182,0.15687
1959,0.0927,0.1588
1960,0.0936,0.16043
1961,0.09449,0.16182
1962,0.09541,0.16408
1963,0.09633,0.16551
1964,0.09727,0.16768
1965,0.09823,0.16928
1966,0.0992,0.17089
1967,0.10018,0.17302
1968,0.10117,0.17476
1969,0.10216,0.17688
1970,0.10316,0.17842
1971,0.10418,0.18098
1972,0.1052,0.18247
1973,0.10624,0.18386
1974,0.10728,0.18639
1975,0.10833,0.18806
1976,0.1094,0.19024
1977,0.11047,0.19186
1978,0.11155,0.19433
1979,0.11263,0.19598
1980,0.11373,0.19826
1981,0.11482,0.19992
1982,0.11593,0.20149
1983,0.11705,0.20405
1984,0.11816,0.20565
1985,0.11929,0.20803
1986,0.12042,0.20967
1987,0.12155,0.21188
1988,0.12268,0.21344
1989,0.12383,0.21572
1990,0.12497,0.21749
1991,0.12612,0.21961
1992,0.12727,0.22123
1993,0.12841,0.22339
1994,0.12956,0.22505
1995,0.13069,0.2272
1996,0.13183,0.22873
1997,0.13297,0.23092
1998,0.1341,0.23238
1999,0.13523,0.23467
2000,0.13637,0.23616
2001,0.13749,0.2376
2002,0.13862,0.23971
2003,0.13974,0.24193
2004,0.14085,0.24328
2005,0.14196,0.24545
2006,0.14305,0.24693
2007,0.14413,0.24893
2008,0.14521,0.25033
2009,0.14628,0.25235
2010,0.14736,0.25362
2011,0.14843,0.25563
2012,0.14948,0.25699
2013,0.15052,0.25899
2014,0.15156,0.26031
2015,0.15258,0.26229
2016,0.1536,0.26362
2017,0.15462,0.26551
2018,0.15562,0.26659
2019,0.15661,0.26839
2020,0.15758,0.26969
2021,0.15853,0.27151
2022,0.15946,0.27329
2023,0.1604,0.27436
2024,0.16132,0.27619
2025,0.16224,0.27736
2026,0.16314,0.2791
2027,0.16403,0.28012
2028,0.1649,0.2818
2029,0.16575,0.28349
2030,0.16659,0.28461
2031,0.16743,0.28602
2032,0.16825,0.28717
2033,0.16906,0.28875
2034,0.16985,0.28976
2035,0.17063,0.29136
2036,0.17139,0.29294
2037,0.17214,0.29382
2038,0.17287,0.29545
2039,0.1736,0.29633
2040,0.17431,0.29781
2041,0.17501,0.29932
2042,0.17571,0.30016
2043,0.17641,0.30166
2044,0.17709,0.3025
2045,0.17777,0.3039
2046,0.17843,0.30531
2047,0.17907,0.3062
2048,0.17972,0.3076
2049,0.18037,0.30846
2050,0.18102,0.30982
2051,0.18167,0.31113
2052,0.18232,0.31202
2053,0.18297,0.31334
2054,0.18362,0.31473
2055,0.18427,0.31552
2056,0.18492,0.31695
2057,0.18558,0.3178
2058,0.18623,0.3192
2059,0.18689,0.32056
2060,0.18756,0.32146
2061,0.18823,0.32288
2062,0.18889,0.32419
2063,0.18956,0.32526
2064,0.19023,0.32655
2065,0.1909,0.32801
2066,0.19156,0.32881
2067,0.19223,0.33015
2068,0.19288,0.3315
2069,0.19353,0.3324
2070,0.19418,0.33365
2071,0.19484,0.33506
2072,0.19548,0.33582
2073,0.19612,0.33713
2074,0.19675,0.33844
2075,0.19737,0.33932
2076,0.19799,0.34047
2077,0.19861,0.34181
2078,0.19923,0.34267
2079,0.19985,0.34385
2080,0.20045,0.34498
2081,0.20105,0.34575
2082,0.20165,0.34704
2083,0.20224,0.34824
2084,0.20283,0.34895
2085,0.20342,0.35006
2086,0.20401,0.35128
2087,0.20458,0.35237
2088,0.20514,0.35321
2089,0.20571,0.35433
2090,0.20627,0.35542
2091,0.20682,0.35621
2092,0.20739,0.35713
2093,0.20793,0.35844
2094,0.20847,0.35941
2095,0.20901,0.36016
2096,0.20954,0.3611
2097,0.21007,0.36219
2098,0.21059,0.36298
2099,0.21111,0.36397
2100,0.21163,0.36496
2101,0.21214,0.36604
2102,0.21264,0.36669
2103,0.21315,0.36783
2104,0.21364,0.36878
2105,0.21413,0.36977
2106,0.21461,0.3704
2107,0.21508,0.37132
2108,0.21554,0.37228
2109,0.21598,0.37319
2110,0.21642,0.37381
2111,0.21685,0.37469
2112,0.21727,0.37552
2113,0.21769,0.3765
2114,0.21809,0.37701
2115,0.21849,0.37779
2116,0.21888,0.3786
2117,0.21926,0.3795
2118,0.21964,0.38012
2119,0.22001,0.38095
2120,0.22037,0.38182
2121,0.2207,0.38278
2122,0.22104,0.38352
2123,0.22137,0.38418
2124,0.2217,0.38499
2125,0.22204,0.38577
2126,0.22239,0.3865
2127,0.22273,0.38703
2128,0.22308,0.38777
2129,0.22342,0.38852
2130,0.22376,0.38925
2131,0.2241,0.38994
2132,0.22442,0.39042
2133,0.22475,0.39118
2134,0.2251,0.39176
2135,0.22544,0.39239
2136,0.2258,0.39304
2137,0.22617,0.39344
2138,0.22651,0.39405
2139,0.22686,0.39459
2140,0.2272,0.39509
2141,0.22753,0.39573
2142,0.22787,0.39625
2143,0.22821,0.39669
2144,0.22855,0.3972
2145,0.22889,0.39779
2146,0.22922,0.39836
2147,0.22955,0.39892
2148,0.22987,0.39933
2149,0.23017,0.39976
2150,0.23047,0.40034
2151,0.23077,0.40088
2152,0.23106,0.40136
2153,0.23133,0.40194
2154,0.2316,0.40232
2155,0.23186,0.40273
2156,0.23211,0.40331
2157,0.23235,0.40371
2158,0.23258,0.40422
2159,0.23281,0.40466
2160,0.23302,0.40514
2161,0.23323,0.40539
2162,0.23343,0.40585
2163,0.23363,0.40634
2164,0.23383,0.40677
2165,0.23403,0.40711
2166,0.23422,0.40752
2167,0.23442,0.40795
2168,0.23461,0.40836
2169,0.23482,0.40865
2170,0.23505,0.40903
2171,0.23527,0.40942
2172,0.2355,0.40984
2173,0.23573,0.41024
2174,0.23595,0.41073
2175,0.23619,0.41104
2176,0.23644,0.41146
2177,0.23668,0.41184
2178,0.23692,0.41229
2179,0.23717,0.41282
2180,0.2374,0.41326
2181,0.23765,0.41364
2182,0.23788,0.41412
2183,0.2381,0.41451
2184,0.23835,0.4149
2185,0.23861,0.4154
2186,0.23887,0.41578
2187,0.23915,0.41615
2188,0.2394,0.41662
2189,0.23963,0.41698
2190,0.23988,0.41726
2191,0.24012,0.41766
2192,0.24036,0.41797
2193,0.2406,0.41828
2194,0.24084,0.41839
2195,0.24109,0.41859
2196,0.24132,0.41882
2197,0.24156,0.4191
2198,0.24177,0.41935
2199,0.24196,0.41947
2200,0.24215,0.41971
2201,0.24234,0.41995
2202,0.24251,0.42013
2203,0.24268,0.42038
2204,0.24285,0.42049
2205,0.24302,0.42071
2206,0.24318,0.42082
2207,0.24333,0.42107
2208,0.24349,0.42136
2209,0.24363,0.42162
2210,0.24376,0.4219
2211,0.24388,0.42214
2212,0.24399,0.42228
2213,0.24408,0.42248
2214,0.24416,0.42258
2215,0.24423,0.42269
2216,0.24426,0.42269
2217,0.2443,0.42269
2218,0.24434,0.42277
2219,0.24436,0.42282
2220,0.24438,0.42294
2221,0.24437,0.42297
2222,0.24435,0.42307
2223,0.24429,0.42302
2224,0.24419,0.42298
2225,0.24407,0.42295
2226,0.24392,0.42277
2227,0.24374,0.42259
2228,0.24356,0.42252
2229,0.24336,0.42228
2230,0.24313,0.422
2231,0.24289,0.42186
2232,0.2426,0.42159
2233,0.24227,0.42129
2234,0.24194,0.42108
2235,0.24156,0.42075
2236,0.24116,0.42035
2237,0.24076,0.41986
2238,0.24033,0.4195
2239,0.23988,0.41899
2240,0.23941,0.41842
2241,0.23893,0.41785
2242,0.23841,0.41729
2243,0.23788,0.41668
2244,0.23733,0.41604
2245,0.23676,0.41539
2246,0.23619,0.41466
2247,0.23561,0.414
2248,0.23503,0.41339
2249,0.23445,0.4127
2250,0.23386,0.41202
2251,0.23327,0.41134
2252,0.23267,0.41069
2253,0.23208,0.40973
2254,0.23147,0.40907
2255,0.23086,0.40825
2256,0.23026,0.40753
2257,0.22966,0.40686
2258,0.22905,0.40627
2259,0.22847,0.40555
2260,0.22789,0.40484
2261,0.22731,0.40399
2262,0.22674,0.40334
2263,0.22616,0.40262
2264,0.22557,0.40177
2265,0.22499,0.40104
2266,0.22442,0.40035
2267,0.22385,0.39964
2268,0.22331,0.39895
2269,0.22278,0.39823
2270,0.22227,0.39753
2271,0.22176,0.39695
2272,0.22126,0.39633
2273,0.22077,0.39577
2274,0.22027,0.39485
2275,0.21979,0.39427
2276,0.21932,0.39355
2277,0.21885,0.39299
2278,0.2184,0.39236
2279,0.21794,0.39174
2280,0.21747,0.39122
2281,0.217,0.39062
2282,0.21652,0.38991
2283,0.21604,0.38934
2284,0.21557,0.38859
2285,0.21508,0.38788
2286,0.2146,0.3872
2287,0.2141,0.38616
2288,0.21358,0.38548
2289,0.21304,0.38473
2290,0.21248,0.38386
2291,0.21191,0.38323
2292,0.21134,0.3824
2293,0.21075,0.3818
2294,0.21013,0.38106
2295,0.20951,0.38041
2296,0.20887,0.37965
2297,0.20822,0.3791
2298,0.20755,0.37793
2299,0.2069,0.37741
2300,0.20622,0.37664
2301,0.20555,0.37602
2302,0.20488,0.37521
2303,0.20422,0.37474
2304,0.20354,0.37405
2305,0.20289,0.37361
2306,0.20226,0.37236
2307,0.20167,0.37191
2308,0.2011,0.37137
2309,0.20057,0.3708
2310,0.20005,0.37025
2311,0.19955,0.36987
2312,0.19908,0.36922
2313,0.19865,0.36888
2314,0.19826,0.36776
2315,0.19789,0.36753
2316,0.19753,0.36695
2317,0.19717,0.36651
2318,0.19677,0.36598
2319,0.19639,0.36558
2320,0.19601,0.36499
2321,0.19559,0.36458
2322,0.1952,0.36337
2323,0.19478,0.3629
2324,0.19433,0.36229
2325,0.19386,0.36161
2326,0.19337,0.36105
2327,0.19285,0.36058
2328,0.19232,0.35913
2329,0.19177,0.35864
2330,0.19123,0.35794
2331,0.19067,0.35728
2332,0.19011,0.35655
2333,0.18954,0.35572
2334,0.18896,0.35507
2335,0.18835,0.35367
2336,0.18777,0.35302
2337,0.1872,0.35223
2338,0.18663,0.35148
2339,0.18609,0.35079
2340,0.18553,0.34928
2341,0.18495,0.34874
2342,0.1844,0.34787
2343,0.18385,0.3472
2344,0.1833,0.34641
2345,0.18276,0.34577
2346,0.18224,0.34451
2347,0.18172,0.34393
2348,0.18122,0.34325
2349,0.18076,0.34268
2350,0.18029,0.34209
2351,0.17984,0.34073
2352,0.17939,0.34033
2353,0.17896,0.33964
2354,0.17852,0.3389
2355,0.17811,0.33829
2356,0.17767,0.33781
2357,0.17724,0.33641
2358,0.17679,0.33591
2359,0.17635,0.33537
2360,0.17588,0.33467
2361,0.17542,0.33415
2362,0.17494,0.33262
2363,0.17442,0.33214
2364,0.1739,0.33156
2365,0.17337,0.33104
2366,0.17282,0.3296
2367,0.17228,0.32908
2368,0.17176,0.32832
2369,0.17121,0.32752
2370,0.17065,0.32693
2371,0.17006,0.32548
2372,0.16948,0.32484
2373,0.16887,0.32403
2374,0.16824,0.32352
2375,0.16763,0.32189
2376,0.16703,0.3215
2377,0.1664,0.3207
2378,0.16578,0.31977
2379,0.16513,0.31932
2380,0.16446,0.31771
2381,0.16378,0.31709
2382,0.1631,0.31619
2383,0.16243,0.31547
2384,0.16178,0.31395
2385,0.16113,0.31319
2386,0.16047,0.31245
2387,0.15983,0.31181
2388,0.15918,0.31027
2389,0.15851,0.30949
2390,0.15785,0.30871
2391,0.1572,0.30795
2392,0.15653,0.30634
2393,0.15588,0.30557
2394,0.15523,0.3047
2395,0.15456,0.30399
2396,0.15388,0.30252
2397,0.15319,0.30175
2398,0.15254,0.30096
2399,0.15189,0.30023
2400,0.15125,0.29866
2401,0.15064,0.29799
2402,0.14996,0.29702
2403,0.1492,0.29646
2404,0.14849,0.29458
2405,0.14777,0.29388
2406,0.14701,0.29315
2407,0.1463,0.29144
2408,0.14558,0.29069
2409,0.14479,0.28982
2410,0.14405,0.28906
2411,0.14336,0.28755
2412,0.14261,0.28657
2413,0.14185,0.28562
2414,0.14113,0.2839
2415,0.14039,0.28306
2416,0.13966,0.28205
2417,0.13896,0.2811
2418,0.13818,0.27934
2419,0.1374,0.27841
2420,0.13666,0.27743
2421,0.13587,0.27559
2422,0.13512,0.27463
2423,0.13437,0.2736
2424,0.13358,0.27273
2425,0.13282,0.27072
2426,0.13205,0.2699
2427,0.13127,0.26887
2428,0.13048,0.26712
2429,0.1297,0.2661
2430,0.12893,0.26499
2431,0.12821,0.26312
2432,0.12746,0.26219
2433,0.12667,0.26115
2434,0.12589,0.26029
2435,0.12509,0.25832
2436,0.12433,0.25729
2437,0.12357,0.25624
2438,0.12281,0.25442
2439,0.12212,0.25334
2440,0.1214,0.25247
2441,0.12063,0.25045
2442,0.11984,0.24954
2443,0.11908,0.24849
2444,0.11828,0.24645
2445,0.11755,0.24532
2446,0.11682,0.24428
2447,0.11612,0.24231
2448,0.11536,0.24122
2449,0.11458,0.24021
2450,0.11388,0.23816
2451,0.11314,0.23705
2452,0.11243,0.23609
2453,0.11177,0.23385
2454,0.11105,0.23289
2455,0.11033,0.23188
2456,0.10963,0.22973
2457,0.10893,0.22876
2458,0.10823,0.22781
2459,0.10759,0.22574
2460,0.10694,0.22473
2461,0.10631,0.22366
2462,0.10564,0.22163
2463,0.10494,0.2208
2464,0.10423,0.2199
2465,0.10347,0.21809
2466,0.10282,0.21703
2467,0.10227,0.21519
2468,0.10169,0.21418
2469,0.10116,0.21333
2470,0.10064,0.21144
2471,0.10004,0.21069
2472,0.09949,0.20981
2473,0.09896,0.20791
2474,0.09838,0.20707
2475,0.09782,0.20625
2476,0.09726,0.20469
2477,0.09668,0.20385
2478,0.09613,0.20229
2479,0.09563,0.20126
2480,0.09513,0.2005
2481,0.09466,0.19911
2482,0.0942,0.19843
2483,0.09377,0.19807
2484,0.09334,0.19668
2485,0.09292,0.19559
2486,0.09258,0.19327
2487,0.09218,0.19291
2488,0.09178,0.1921
2489,0.09144,0.19008
2490,0.09105,0.18952
2491,0.09063,0.18867
2492,0.09028,0.18741
2493,0.08992,0.18672
2494,0.08957,0.18566
2495,0.08929,0.18522
2496,0.08898,0.18484
2497,0.08863,0.18375
2498,0.08834,0.18334
2499,0.08811,0.18225
2500,0.08786,0.18197
