wavelength(nm),reflectance,diffuse_transmittancee
703,0.31169,0
704,0.31612,0
705,0.32027,0
706,0.32419,0
707,0.32792,0
708,0.33146,0
709,0.33486,0
710,0.3382,0
711,0.34141,0
712,0.34453,0
713,0.34759,0
714,0.35059,0
715,0.35352,0
716,0.35641,0
717,0.35924,0
718,0.36201,0
719,0.3647,0
720,0.36734,0
721,0.36999,0
722,0.37253,0
723,0.375,0
724,0.37745,0
725,0.37987,0
726,0.38225,0
727,0.38454,0
728,0.38674,0
729,0.38894,0
730,0.39104,0
731,0.39308,0
732,0.39512,0
733,0.39706,0
734,0.39897,0
735,0.40086,0
736,0.40267,0
737,0.40441,0
738,0.4061,0
739,0.40778,0
740,0.4094,0
741,0.41099,0
742,0.41254,0
743,0.41402,0
744,0.41548,0
745,0.41689,0
746,0.41825,0
747,0.41964,0
748,0.42095,0
749,0.42219,0
750,0.42344,0
751,0.42473,0
752,0.42599,0
753,0.4272,0
754,0.42836,0
755,0.42953,0
756,0.43067,0
757,0.43181,0
758,0.43295,0
759,0.43407,0
760,0.43519,0
761,0.43632,0
762,0.43741,0
763,0.43852,0
764,0.43963,0
765,0.4407,0
766,0.44175,0
767,0.44281,0
768,0.44388,0
769,0.44494,0
770,0.44601,0
771,0.44707,0
772,0.44814,0
773,0.44921,0
774,0.45029,0
775,0.45138,0
776,0.45245,0
777,0.45348,0
778,0.4545,0
779,0.45555,0
780,0.4566,0
781,0.45766,0
782,0.45873,0
783,0.45979,0
784,0.46083,0
785,0.46189,0
786,0.46297,0
787,0.46403,0
788,0.46507,0
789,0.4661,0
790,0.46713,0
791,0.46817,0
792,0.46926,0
793,0.47033,0
794,0.47137,0
795,0.47244,0
796,0.47348,0
797,0.47452,0
798,0.47559,0
799,0.47663,0
800,0.47768,0
801,0.47874,0
802,0.4798,0
803,0.48085,0
804,0.4819,0
805,0.48296,0
806,0.48401,0
807,0.48507,0
808,0.48611,0
809,0.48714,0
810,0.48817,0
811,0.48926,0
812,0.49034,0
813,0.49134,0
814,0.49239,0
815,0.49343,0
816,0.49446,0
817,0.49549,0
818,0.49652,0
819,0.49755,0
820,0.49856,0
821,0.49954,0
822,0.50058,0
823,0.50161,0
824,0.50261,0
825,0.50363,0
826,0.50465,0
827,0.50564,0
828,0.50662,0
829,0.50762,0
830,0.50864,0
831,0.50965,0
832,0.51064,0
833,0.51163,0
834,0.51258,0
835,0.51351,0
836,0.51447,0
837,0.51547,0
838,0.51648,0
839,0.51745,0
840,0.51838,0
841,0.51933,0
842,0.52028,0
843,0.52121,0
844,0.52215,0
845,0.52308,0
846,0.52402,0
847,0.52497,0
848,0.52586,0
849,0.52676,0
850,0.52768,0
851,0.5286,0
852,0.52952,0
853,0.53043,0
854,0.53133,0
855,0.53219,0
856,0.53309,0
857,0.53398,0
858,0.53484,0
859,0.53573,0
860,0.53663,0
861,0.53752,0
862,0.53836,0
863,0.5392,0
864,0.54007,0
865,0.54097,0
866,0.54186,0
867,0.54268,0
868,0.54351,0
869,0.54439,0
870,0.54531,0
871,0.54619,0
872,0.54709,0
873,0.54801,0
874,0.54892,0
875,0.54984,0
876,0.55074,0
877,0.55161,0
878,0.55252,0
879,0.55344,0
880,0.55437,0
881,0.55531,0
882,0.55626,0
883,0.55717,0
884,0.55808,0
885,0.55902,0
886,0.55995,0
887,0.5609,0
888,0.56187,0
889,0.56282,0
890,0.56375,0
891,0.56465,0
892,0.56553,0
893,0.56641,0
894,0.56733,0
895,0.56825,0
896,0.56915,0
897,0.57006,0
898,0.57091,0
899,0.57177,0
900,0.57269,0
901,0.5736,0
902,0.57441,0
903,0.57521,0
904,0.57608,0
905,0.57692,0
906,0.57775,0
907,0.57857,0
908,0.57939,0
909,0.58018,0
910,0.58105,0
911,0.58193,0
912,0.58272,0
913,0.58347,0
914,0.58422,0
915,0.58502,0
916,0.58585,0
917,0.58656,0
918,0.58733,0
919,0.58816,0
920,0.58893,0
921,0.58965,0
922,0.59037,0
923,0.5911,0
924,0.59183,0
925,0.59255,0
926,0.59323,0
927,0.59392,0
928,0.59467,0
929,0.59542,0
930,0.59615,0
931,0.59684,0
932,0.59747,0
933,0.59814,0
934,0.59883,0
935,0.5995,0
936,0.60015,0
937,0.60083,0
938,0.60154,0
939,0.60223,0
940,0.60282,0
941,0.60341,0
942,0.604,0
943,0.6046,0
944,0.60524,0
945,0.60586,0
946,0.60646,0
947,0.60707,0
948,0.60768,0
949,0.60822,0
950,0.60877,0
951,0.60934,0
952,0.6098,0
953,0.61027,0
954,0.61077,0
955,0.61131,0
956,0.61181,0
957,0.61229,0
958,0.61276,0
959,0.61323,0
960,0.61373,0
961,0.6142,0
962,0.61472,0
963,0.6153,0
964,0.61581,0
965,0.6163,0
966,0.61682,0
967,0.61738,0
968,0.61791,0
969,0.61835,0
970,0.61888,0
971,0.61951,0
972,0.62003,0
973,0.62059,0
974,0.62107,0
975,0.62148,0
976,0.62204,0
977,0.62263,0
978,0.62319,0
979,0.62373,0
980,0.62427,0
981,0.6247,0
982,0.62523,0
983,0.62586,0
984,0.62639,0
985,0.62697,0
986,0.62753,0
987,0.62806,0
988,0.62859,0
989,0.62922,0
990,0.62977,0
991,0.63028,0
992,0.63094,0
993,0.63149,0
994,0.63203,0
995,0.63261,0
996,0.63319,0
997,0.63358,0
998,0.63406,0
999,0.63467,0
1000,0.63531,0
1001,0.63969,0
1002,0.64027,0
1003,0.64079,0
1004,0.64137,0
1005,0.642,0
1006,0.64256,0
1007,0.64316,0
1008,0.64376,0
1009,0.64429,0
1010,0.64487,0
1011,0.64548,0
1012,0.64606,0
1013,0.64667,0
1014,0.64735,0
1015,0.64796,0
1016,0.64856,0
1017,0.64913,0
1018,0.64968,0
1019,0.65023,0
1020,0.65071,0
1021,0.65121,0
1022,0.65176,0
1023,0.65235,0
1024,0.65299,0
1025,0.65368,0
1026,0.65434,0
1027,0.6549,0
1028,0.6555,0
1029,0.65613,0
1030,0.65673,0
1031,0.65732,0
1032,0.65794,0
1033,0.65854,0
1034,0.65906,0
1035,0.65962,0
1036,0.66021,0
1037,0.66077,0
1038,0.66138,0
1039,0.66207,0
1040,0.6627,0
1041,0.66329,0
1042,0.66389,0
1043,0.66439,0
1044,0.66488,0
1045,0.66542,0
1046,0.66602,0
1047,0.66656,0
1048,0.66712,0
1049,0.66772,0
1050,0.66829,0
1051,0.66887,0
1052,0.66945,0
1053,0.66999,0
1054,0.67048,0
1055,0.67096,0
1056,0.67143,0
1057,0.67193,0
1058,0.67246,0
1059,0.67296,0
1060,0.67348,0
1061,0.674,0
1062,0.67452,0
1063,0.67501,0
1064,0.67553,0
1065,0.67602,0
1066,0.67653,0
1067,0.67707,0
1068,0.67758,0
1069,0.6781,0
1070,0.67858,0
1071,0.67901,0
1072,0.67949,0
1073,0.67995,0
1074,0.68038,0
1075,0.68082,0
1076,0.68128,0
1077,0.68174,0
1078,0.68219,0
1079,0.6826,0
1080,0.68302,0
1081,0.68342,0
1082,0.68378,0
1083,0.68421,0
1084,0.68465,0
1085,0.68502,0
1086,0.68541,0
1087,0.68582,0
1088,0.68618,0
1089,0.68656,0
1090,0.68697,0
1091,0.68736,0
1092,0.68771,0
1093,0.68808,0
1094,0.68845,0
1095,0.68883,0
1096,0.68922,0
1097,0.68962,0
1098,0.69001,0
1099,0.6903,0
1100,0.6906,0
1101,0.69094,0
1102,0.69126,0
1103,0.69158,0
1104,0.6919,0
1105,0.69218,0
1106,0.69244,0
1107,0.69271,0
1108,0.69298,0
1109,0.69322,0
1110,0.69349,0
1111,0.69378,0
1112,0.69406,0
1113,0.69433,0
1114,0.69455,0
1115,0.69471,0
1116,0.69492,0
1117,0.69511,0
1118,0.6953,0
1119,0.6955,0
1120,0.69566,0
1121,0.69582,0
1122,0.69597,0
1123,0.69607,0
1124,0.69612,0
1125,0.69617,0
1126,0.69617,0
1127,0.69618,0
1128,0.69619,0
1129,0.6962,0
1130,0.69618,0
1131,0.69609,0
1132,0.69598,0
1133,0.69588,0
1134,0.69576,0
1135,0.69564,0
1136,0.69551,0
1137,0.69533,0
1138,0.69509,0
1139,0.69486,0
1140,0.69464,0
1141,0.69442,0
1142,0.6942,0
1143,0.694,0
1144,0.69378,0
1145,0.69353,0
1146,0.69329,0
1147,0.69304,0
1148,0.69279,0
1149,0.69251,0
1150,0.69223,0
1151,0.692,0
1152,0.69177,0
1153,0.69157,0
1154,0.69141,0
1155,0.69127,0
1156,0.69115,0
1157,0.69102,0
1158,0.69091,0
1159,0.69081,0
1160,0.69073,0
1161,0.69065,0
1162,0.69058,0
1163,0.69054,0
1164,0.69051,0
1165,0.69049,0
1166,0.6905,0
1167,0.69053,0
1168,0.69058,0
1169,0.69065,0
1170,0.69074,0
1171,0.69083,0
1172,0.69093,0
1173,0.691,0
1174,0.69108,0
1175,0.69117,0
1176,0.69126,0
1177,0.69133,0
1178,0.69141,0
1179,0.69151,0
1180,0.69157,0
1181,0.69161,0
1182,0.69167,0
1183,0.69172,0
1184,0.69179,0
1185,0.69189,0
1186,0.69198,0
1187,0.69206,0
1188,0.69211,0
1189,0.69219,0
1190,0.69228,0
1191,0.69236,0
1192,0.69247,0
1193,0.69258,0
1194,0.69268,0
1195,0.6928,0
1196,0.69294,0
1197,0.69308,0
1198,0.6932,0
1199,0.69335,0
1200,0.69351,0
1201,0.69369,0
1202,0.69388,0
1203,0.69409,0
1204,0.6943,0
1205,0.69452,0
1206,0.69477,0
1207,0.69503,0
1208,0.69531,0
1209,0.6956,0
1210,0.69592,0
1211,0.69628,0
1212,0.69669,0
1213,0.69718,0
1214,0.69766,0
1215,0.69819,0
1216,0.69874,0
1217,0.6993,0
1218,0.69991,0
1219,0.70059,0
1220,0.70126,0
1221,0.70198,0
1222,0.70268,0
1223,0.70339,0
1224,0.70408,0
1225,0.70475,0
1226,0.70544,0
1227,0.70613,0
1228,0.70683,0
1229,0.70755,0
1230,0.70824,0
1231,0.7089,0
1232,0.70954,0
1233,0.71015,0
1234,0.71073,0
1235,0.71131,0
1236,0.71188,0
1237,0.71243,0
1238,0.71298,0
1239,0.7135,0
1240,0.714,0
1241,0.7145,0
1242,0.71498,0
1243,0.71546,0
1244,0.71593,0
1245,0.7164,0
1246,0.71684,0
1247,0.7173,0
1248,0.71777,0
1249,0.71823,0
1250,0.71868,0
1251,0.71911,0
1252,0.71953,0
1253,0.71991,0
1254,0.72031,0
1255,0.7207,0
1256,0.7211,0
1257,0.7215,0
1258,0.72191,0
1259,0.72233,0
1260,0.72272,0
1261,0.72312,0
1262,0.72351,0
1263,0.72391,0
1264,0.72428,0
1265,0.72465,0
1266,0.725,0
1267,0.72531,0
1268,0.72563,0
1269,0.72594,0
1270,0.72627,0
1271,0.72658,0
1272,0.72689,0
1273,0.72721,0
1274,0.72753,0
1275,0.72783,0
1276,0.72813,0
1277,0.72842,0
1278,0.7287,0
1279,0.72893,0
1280,0.72914,0
1281,0.72935,0
1282,0.72952,0
1283,0.72973,0
1284,0.72997,0
1285,0.73018,0
1286,0.73038,0
1287,0.73056,0
1288,0.73071,0
1289,0.73087,0
1290,0.73101,0
1291,0.73116,0
1292,0.73132,0
1293,0.73146,0
1294,0.73162,0
1295,0.73175,0
1296,0.73186,0
1297,0.73195,0
1298,0.73204,0
1299,0.73213,0
1300,0.73221,0
1301,0.7323,0
1302,0.73233,0
1303,0.73229,0
1304,0.73229,0
1305,0.73224,0
1306,0.73222,0
1307,0.73223,0
1308,0.73221,0
1309,0.7322,0
1310,0.73216,0
1311,0.73212,0
1312,0.73204,0
1313,0.73191,0
1314,0.73179,0
1315,0.73164,0
1316,0.7315,0
1317,0.73137,0
1318,0.73121,0
1319,0.73103,0
1320,0.73081,0
1321,0.73059,0
1322,0.73035,0
1323,0.7301,0
1324,0.72986,0
1325,0.72958,0
1326,0.72927,0
1327,0.72896,0
1328,0.72863,0
1329,0.72828,0
1330,0.72793,0
1331,0.72755,0
1332,0.72716,0
1333,0.72675,0
1334,0.72634,0
1335,0.72592,0
1336,0.72549,0
1337,0.72506,0
1338,0.72465,0
1339,0.72422,0
1340,0.72379,0
1341,0.72333,0
1342,0.72283,0
1343,0.72235,0
1344,0.72186,0
1345,0.72139,0
1346,0.72093,0
1347,0.72048,0
1348,0.72004,0
1349,0.71962,0
1350,0.71917,0
1351,0.71873,0
1352,0.7183,0
1353,0.71787,0
1354,0.71744,0
1355,0.71702,0
1356,0.71661,0
1357,0.71621,0
1358,0.7158,0
1359,0.71541,0
1360,0.71499,0
1361,0.71454,0
1362,0.71411,0
1363,0.71369,0
1364,0.71329,0
1365,0.71293,0
1366,0.71253,0
1367,0.71215,0
1368,0.71171,0
1369,0.71124,0
1370,0.71074,0
1371,0.71021,0
1372,0.70964,0
1373,0.70905,0
1374,0.70839,0
1375,0.70767,0
1376,0.70689,0
1377,0.70605,0
1378,0.70514,0
1379,0.70414,0
1380,0.70306,0
1381,0.70192,0
1382,0.70069,0
1383,0.69939,0
1384,0.69803,0
1385,0.69659,0
1386,0.69505,0
1387,0.69345,0
1388,0.69177,0
1389,0.69004,0
1390,0.68822,0
1391,0.68637,0
1392,0.68445,0
1393,0.6825,0
1394,0.6805,0
1395,0.67844,0
1396,0.67633,0
1397,0.6742,0
1398,0.67201,0
1399,0.66978,0
1400,0.66752,0
1401,0.66523,0
1402,0.66289,0
1403,0.66053,0
1404,0.65812,0
1405,0.65574,0
1406,0.65335,0
1407,0.65098,0
1408,0.64862,0
1409,0.6463,0
1410,0.64399,0
1411,0.64171,0
1412,0.63949,0
1413,0.6373,0
1414,0.6352,0
1415,0.63314,0
1416,0.63118,0
1417,0.62929,0
1418,0.62749,0
1419,0.62578,0
1420,0.62412,0
1421,0.62255,0
1422,0.62104,0
1423,0.61957,0
1424,0.6182,0
1425,0.6169,0
1426,0.61569,0
1427,0.61454,0
1428,0.61347,0
1429,0.6125,0
1430,0.61157,0
1431,0.61071,0
1432,0.60989,0
1433,0.60911,0
1434,0.6084,0
1435,0.60775,0
1436,0.60715,0
1437,0.60659,0
1438,0.6061,0
1439,0.60568,0
1440,0.60528,0
1441,0.60493,0
1442,0.60462,0
1443,0.60435,0
1444,0.60412,0
1445,0.60398,0
1446,0.60385,0
1447,0.60374,0
1448,0.60365,0
1449,0.60359,0
1450,0.60353,0
1451,0.60349,0
1452,0.60349,0
1453,0.60351,0
1454,0.60354,0
1455,0.60361,0
1456,0.60372,0
1457,0.60382,0
1458,0.60393,0
1459,0.60404,0
1460,0.60413,0
1461,0.60429,0
1462,0.60448,0
1463,0.60467,0
1464,0.60488,0
1465,0.60513,0
1466,0.60538,0
1467,0.60569,0
1468,0.60606,0
1469,0.60645,0
1470,0.60689,0
1471,0.60732,0
1472,0.60776,0
1473,0.60825,0
1474,0.60874,0
1475,0.60928,0
1476,0.60987,0
1477,0.61046,0
1478,0.61107,0
1479,0.6117,0
1480,0.61237,0
1481,0.61302,0
1482,0.61367,0
1483,0.61432,0
1484,0.61494,0
1485,0.6156,0
1486,0.6163,0
1487,0.61698,0
1488,0.61769,0
1489,0.61839,0
1490,0.61907,0
1491,0.61977,0
1492,0.62046,0
1493,0.62117,0
1494,0.62188,0
1495,0.6226,0
1496,0.62333,0
1497,0.62406,0
1498,0.6248,0
1499,0.62553,0
1500,0.62627,0
1501,0.62699,0
1502,0.62769,0
1503,0.62842,0
1504,0.62913,0
1505,0.62982,0
1506,0.63054,0
1507,0.63125,0
1508,0.63196,0
1509,0.63267,0
1510,0.63337,0
1511,0.63407,0
1512,0.63475,0
1513,0.63543,0
1514,0.63611,0
1515,0.63678,0
1516,0.63744,0
1517,0.6381,0
1518,0.63876,0
1519,0.63941,0
1520,0.64004,0
